Name,Pinnacle height,Year,Structure type,Main use,Country,Town,Remarks,Coordinates
Burj Khalifa,"829.8 m (2,722 ft)",2010,Skyscraper,"Office, hotel, residential", United Arab Emirates,Dubai,"Tallest human-built structure in the world
Height includes 244m spire[1]",25°11′50.0″N 55°16′26.6″E
Merdeka 118,"678.9 m (2,227 ft)",2022,Skyscraper,"Office, hotel, residential", Malaysia,Kuala Lumpur,Second tallest structure in the world,3°8′30″N 101°42′2″E
Warsaw Radio Mast,"646.4 m (2,121 ft)",1974,Guyed mast,LF transmission, Poland,"Gąbin-Konstantynów, Masovian Voivodeship","Insulated; collapsed on August 8, 1991 during guy wire exchange. Several parts of the tower were repaired and used in other structures.",52°22′3.74″N 19°48′8.73″E
Petronius Platform,"640 m (2,100 ft)",2000,Offshore platform,Oil drilling, United States,"Petronius field, Gulf of Mexico",Located appr. 210 kilometers (130 mi) southeast of New Orleans,29°06′30″N 87°56′30″W
Tokyo Skytree,"634.0 m (2,080.1 ft)[2]",2012,Lattice tower,"Observation, VHF-UHF transmission", Japan,Tokyo,"Topped out on March 18, 2011, tallest tower in the world, tallest structure in Japan",35°42′36.5″N 139°48′39″E
Shanghai Tower,"632.0 m (2,073.5 ft)",2015,Skyscraper,"Residential, observation", China,Shanghai,"Completed, topped out in August 2013. Tallest structure in China and second tallest skyscraper in the world.",31°14′7.8″N 121°30′3.6″E
KRDK-TV mast,"627.8 m (2,060 ft)",1998,Guyed mast,VHF-UHF transmission, United States,"Galesburg, North Dakota","Rebuilt after collapses on February 14, 1968 and April 6, 1997",47°16′45″N 97°20′27″W
KXTV/KOVR tower,"624.5 m (2,049 ft)",1985,Guyed mast,VHF-UHF transmission, United States,"Walnut Grove, California","Tallest structure in California, also known as ""Sacramento Joint Venture Tower"".",38°14′23.2″N 121°30′05.7″W
KATV tower,"609.6 m (2,000 ft)",1965,Guyed mast,VHF-UHF transmission, United States,"Redfield, Arkansas","was tallest structure in Arkansas, collapsed on January 11, 2008",34°28′24.0″N 92°12′11″W
KCAU TV Tower,"609.6 m (2,000 ft)",1965,Guyed mast,VHF-UHF transmission, United States,"Sioux City, Iowa",Tallest structure in Iowa (equal)[3],42°35′11.0″N 96°13′57″W
